编号,类别,处理方式,首次出现,出现次数,中文,English
285,界面文案,直接替换,desktop/src/pet.gd:612,1,哼，快来哄哄我～,"Hmph. A little attention, please?"
286,界面文案,直接替换,desktop/src/pet.gd:613,1,正在帮你处理…,I'm on it…
287,界面文案,直接替换,desktop/src/pet.gd:614,1,让我想想…,Let me think…
288,界面文案,直接替换,desktop/src/pet.gd:614,1,想到啦！,I've got an idea!
289,界面文案,直接替换,desktop/src/pet.gd:615,1,卡住了，打开工作窗口看看,I'm stuck. Take a look in the work window.
290,界面文案,直接替换,desktop/src/pet.gd:616,1,这次弄明白啦！,Got it this time!
291,界面文案,直接替换,desktop/src/pet.gd:617,1,搞定啦！,All done!
292,界面文案,直接替换,desktop/src/pet.gd:618,1,辛苦啦，点我喂颗糖～,You've worked hard! Tap me for candy time.
293,界面文案,直接替换,desktop/src/pet.gd:619,1,唔，轻一点嘛…,"Ooh, easy there…"
294,界面文案,直接替换,desktop/src/pet.gd:620,1,夜深啦，记得休息,It's getting late. Remember to get some rest.
295,界面文案,直接替换,desktop/src/pet.gd:621,1,稍等一下，马上就好…,"Just a moment, nearly there…"
296,界面文案,直接替换,desktop/src/pet.gd:622,1,动画测试中,Testing animations
297,界面文案,直接替换,desktop/src/pet.gd:623,1,收书,Put book away
298,界面文案,直接替换,desktop/src/pet.gd:720,1,（原话：,(Your words: 
299,界面文案,直接替换,desktop/src/pet.gd:722,1,暂时没有需要确认的记忆,No memories waiting for your approval
300,界面文案,直接替换,desktop/src/pet.gd:738,5,模型,Model
301,界面文案,直接替换,desktop/src/pet.gd:738,1,· 深度思考 开,· Deep thinking on
302,界面文案,直接替换,desktop/src/pet.gd:739,1,\n深度思考 开,\nDeep thinking on
303,界面文案,直接替换,desktop/src/pet.gd:741,1,本机运行,Running locally
304,界面文案,直接替换,desktop/src/pet.gd:743,1,还需要完成安装。到“模型”页点“检查连接”看看。,Setup isn't finished yet. Go to “Model” and click “Check connection” for details.
305,界面文案,直接替换,desktop/src/pet.gd:744,1,暂时还不能回答。到“模型”页点“检查连接”看看；文件和记忆仍可管理。,I can't answer just yet. Go to “Model” and click “Check connection”. You can still manage files and memories.
306,界面文案,直接替换,desktop/src/pet.gd:745,1,暂时连不上,Can't connect to 
307,界面文案,直接替换,desktop/src/pet.gd:745,1,，到“模型”页点“检查连接”看看。,. Go to “Model” and click “Check connection” for details.
308,界面文案,直接替换,desktop/src/pet.gd:753,1,记住了,I'll remember that
309,界面文案,直接替换,desktop/src/pet.gd:756,1,要忘掉这条记忆吗？\n用到过它的那几条对话会一并删除；为保证不再用到，之前的对话也不再作为后面回答的依据（记录还在，只是不参与）。文件不受影响。,"Forget this memory?\nMessages that used it will also be deleted. To make sure it isn't used again, earlier chats will no longer inform future replies. Those chat records will remain, but won't be used as context. Your files won't be affected."
310,界面文案,直接替换,desktop/src/pet.gd:759,1,已删除这条记忆,Memory deleted
311,界面文案,直接替换,desktop/src/pet.gd:763,1,这个文件打不开,Couldn't open this file
312,界面文案,直接替换,desktop/src/pet.gd:764,3,单文件上限20MB,Maximum 20 MB per file
313,界面文案,直接替换,desktop/src/pet.gd:767,1,已添加,Added
314,界面文案,直接替换,desktop/src/pet.gd:773,1,先在列表里选一个文件。,Select a file from the list first.
315,界面文案,直接替换,desktop/src/pet.gd:776,1,已选好文件，点一个标签再打字，或者直接说要做什么。,"Files selected. Pick a tab and type, or just tell me what you'd like to do."
316,界面文案,直接替换,desktop/src/pet.gd:778,1,先选一条要确认的记忆。,Select a memory to confirm first.
317,界面文案,直接替换,desktop/src/pet.gd:781,1,记住了：,I'll remember: 
318,界面文案,直接替换,desktop/src/pet.gd:781,1,好，忽略这条。,"Okay, I'll skip this one."
319,界面文案,直接替换,desktop/src/pet.gd:787,1,好，,"Okay, "
320,界面文案,直接替换,desktop/src/pet.gd:787,1,提醒你, — I'll remind you: 
321,界面文案,直接替换,desktop/src/pet.gd:795,1,继续这个任务，先核对已经完成的步骤，避免重复执行。,Resume this task. Check which steps are already done first so you don't repeat them.
322,界面文案,直接替换,desktop/src/pet.gd:817,1,Lulu · 执行记录,Lulu · Activity log
323,界面文案,直接替换,desktop/src/pet.gd:820,1,记录,Log
324,界面文案,直接替换,desktop/src/pet.gd:821,1,做了哪些步骤、哪里没成功，都能在这里看。,"See what happened at each step, including anything that didn't work."
325,界面文案,直接替换,desktop/src/pet.gd:823,1,刷新记录,Refresh log
326,界面文案,直接替换,desktop/src/pet.gd:828,1,补充,More details
327,界面文案,直接替换,desktop/src/pet.gd:831,1,选上面的选项，或直接回答。要用文件的话，先在文件页添加，再告诉我文件名。,"Choose an option above or type your answer. To use a file, add it on the Files page first, then tell me its name."
328,界面文案,直接替换,desktop/src/pet.gd:832,1,回复并继续,Reply and continue
329,界面文案,直接替换,desktop/src/pet.gd:832,1,稍后再说,Not now
330,界面文案,直接替换,desktop/src/pet.gd:832,1,取消任务,Cancel task
331,界面文案,直接替换,desktop/src/pet.gd:846,1,暂时没有需要你回答的问题。,No questions waiting for you right now.
332,界面文案,直接替换,desktop/src/pet.gd:867,1,这段对话还没有执行记录。,No activity log for this chat yet.
333,界面文案,直接替换,desktop/src/pet.gd:879,1,任务：,Task: 
334,界面文案,直接替换,desktop/src/pet.gd:879,1,\n状态：,\nStatus: 
335,界面文案,直接替换,desktop/src/pet.gd:880,1,采用默认模板结构,Using the default template structure
336,界面文案,直接替换,desktop/src/pet.gd:880,1,查看相关记忆,Checking relevant memories
337,界面文案,直接替换,desktop/src/pet.gd:880,1,仔细思考中,Thinking it through
338,界面文案,直接替换,desktop/src/pet.gd:880,1,正在起草,Writing a draft
339,界面文案,直接替换,desktop/src/pet.gd:880,1,已收到草稿,Draft received
340,界面文案,直接替换,desktop/src/pet.gd:880,1,根据已有资料重写,Rewriting from the available information
341,界面文案,直接替换,desktop/src/pet.gd:880,1,检查发现问题，正在修改,Found issues. Making corrections
342,界面文案,直接替换,desktop/src/pet.gd:880,1,摘要与原文不一致，正在修改,Summary doesn't match the source. Revising
343,界面文案,直接替换,desktop/src/pet.gd:880,1,开始操作,Starting the action
344,界面文案,直接替换,desktop/src/pet.gd:880,1,已收到操作结果,Action result received
345,界面文案,直接替换,desktop/src/pet.gd:880,1,操作未完成,Action didn't finish
346,界面文案,直接替换,desktop/src/pet.gd:880,1,已确认文件可以读取,File is readable
347,界面文案,直接替换,desktop/src/pet.gd:880,1,操作失败,Action failed
348,界面文案,直接替换,desktop/src/pet.gd:880,1,开始处理,Getting started
349,界面文案,直接替换,desktop/src/pet.gd:880,1,这一步没能完成,Couldn't finish this step
350,界面文案,直接替换,desktop/src/pet.gd:880,1,确认要做的事,Confirming what to do
351,界面文案,直接替换,desktop/src/pet.gd:880,1,安排处理步骤,Planning the steps
352,界面文案,直接替换,desktop/src/pet.gd:880,1,参考之前的处理记录,Checking earlier activity
353,界面文案,直接替换,desktop/src/pet.gd:880,1,开始上网查找,Starting a web search
354,界面文案,直接替换,desktop/src/pet.gd:880,1,正在搜索,Searching
355,界面文案,直接替换,desktop/src/pet.gd:880,1,已收到搜索结果,Search results received
356,界面文案,直接替换,desktop/src/pet.gd:880,1,正在读取网页,Reading web pages
357,界面文案,直接替换,desktop/src/pet.gd:880,1,正在核对来源,Checking sources
358,界面文案,直接替换,desktop/src/pet.gd:880,1,本次网上查找结束,Web search finished
359,界面文案,直接替换,desktop/src/pet.gd:880,1,已按资料重写，去掉未核实的数字,"Rewritten using the sources, with unverified numbers removed"
360,界面文案,直接替换,desktop/src/pet.gd:880,1,已记住,Memory saved
361,界面文案,直接替换,desktop/src/pet.gd:880,1,已忘掉这条记忆,Memory forgotten
362,界面文案,直接替换,desktop/src/pet.gd:880,1,发现可能值得记住的内容，等你确认,Found something worth remembering. Waiting for your approval
363,界面文案,直接替换,desktop/src/pet.gd:880,1,已保存笔记,Note saved
364,界面文案,直接替换,desktop/src/pet.gd:880,1,沿用已完成的部分,Keeping the work already done
365,界面文案,直接替换,desktop/src/pet.gd:880,1,暂时无法获取回答,Can't get a reply right now
366,界面文案,直接替换,desktop/src/pet.gd:880,1,处理时出了点问题,Something went wrong while working on this
367,界面文案,直接替换,desktop/src/pet.gd:880,1,本次处理结束,Finished this run
368,界面文案,直接替换,desktop/src/pet.gd:880,1,等你补充信息,Waiting for more details
369,界面文案,直接替换,desktop/src/pet.gd:880,1,收到补充，继续处理,Details received. Continuing
370,界面文案,直接替换,desktop/src/pet.gd:880,1,已取消这个任务,Task canceled
371,界面文案,直接替换,desktop/src/pet.gd:880,1,已获取网上资料,Web information retrieved
372,界面文案,直接替换,desktop/src/pet.gd:880,1,正在读取参考资料,Reading reference material
373,界面文案,直接替换,desktop/src/pet.gd:880,1,没能读取这份资料,Couldn't read this material
374,界面文案,直接替换,desktop/src/pet.gd:880,1,开始翻译,Starting the translation
375,界面文案,直接替换,desktop/src/pet.gd:880,1,译文可能有遗漏或数字出错，正在重译,The translation may have missing content or incorrect numbers. Trying again
376,界面文案,直接替换,desktop/src/pet.gd:880,1,缺少材料，先请你补充,I need a little more information first
377,界面文案,直接替换,desktop/src/pet.gd:880,1,未找到可核实资料，回答仅供参考,No verifiable sources found. Treat this answer as a general guide
378,界面文案,直接替换,desktop/src/pet.gd:880,1,按你的修改继续处理,Continuing with your changes
379,界面文案,直接替换,desktop/src/pet.gd:880,1,开始改写,Starting the rewrite
380,界面文案,直接替换,desktop/src/pet.gd:880,1,改写结果与原文有出入，正在重做,The rewrite doesn't match the original. Trying again
381,界面文案,直接替换,desktop/src/pet.gd:880,1,答案在文件里没找到原话依据,Couldn't find a passage in the file to support the answer
382,界面文案,直接替换,desktop/src/pet.gd:880,1,开始整理表格,Putting the table together
383,界面文案,直接替换,desktop/src/pet.gd:887,1,（深度思考）,(Deep thinking)
384,界面文案,直接替换,desktop/src/pet.gd:888,1,· 搜索：,· Search: 
385,界面文案,直接替换,desktop/src/pet.gd:892,1,起草并生成文档,Draft and create a document
386,界面文案,直接替换,desktop/src/pet.gd:892,1,保存文档,Save document
387,界面文案,直接替换,desktop/src/pet.gd:892,1,读取文档,Read document
388,界面文案,直接替换,desktop/src/pet.gd:892,1,搜索资料,Search for information
389,界面文案,直接替换,desktop/src/pet.gd:892,1,处理文件,Process file
390,界面文案,直接替换,desktop/src/pet.gd:892,1,处理文档,Process document
391,界面文案,直接替换,desktop/src/pet.gd:892,1,保存长期记忆,Save to long-term memory
392,界面文案,直接替换,desktop/src/pet.gd:892,1,请求补充信息,Ask for more details
393,界面文案,直接替换,desktop/src/pet.gd:893,1,正常结束,Finished normally
394,界面文案,直接替换,desktop/src/pet.gd:893,1,执行中断,Run interrupted
395,界面文案,直接替换,desktop/src/pet.gd:893,1,已取消,Canceled
396,界面文案,直接替换,desktop/src/pet.gd:899,1,结果：,Result: 
397,界面文案,直接替换,desktop/src/pet.gd:909,1,在这里选择 Lulu 用什么来回答。本地模型在你的电脑上运行；使用 API 或命令行时，资料是否发送到外部，取决于所选服务和工具。密钥只保存在本机。,"Choose how Lulu answers you. Local models run on your Mac. With an API or command-line tool, whether your information is sent elsewhere depends on the service and tool you choose. Keys are saved only on this Mac."
398,界面文案,直接替换,desktop/src/pet.gd:910,1,正在读取模型设置…,Loading model settings…
399,界面文案,直接替换,desktop/src/pet.gd:915,1,深度思考,Deep thinking
400,界面文案,直接替换,desktop/src/pet.gd:915,1,总结、写文档、翻译和聊天时多想一会儿再回答。使用本地 4B/8B 模型时，可能需要一两分钟。,"Take a little more time before answering summaries, writing requests, translations, and chats. Local 4B/8B models may need a minute or two."
401,界面文案,直接替换,desktop/src/pet.gd:917,1,检查连接,Check connection
402,界面文案,直接替换,desktop/src/pet.gd:917,1,测试回答,Test reply
403,界面文案,直接替换,desktop/src/pet.gd:920,1,档位,Model size
404,界面文案,直接替换,desktop/src/pet.gd:923,1,4B 档使用两个模型，分别负责直接回答和深度思考；8B 档使用一个模型，通过开关切换。缺少模型时，点“检查连接”查看要下载哪一个。,"The 4B option uses two models: one for quick replies and one for deep thinking. The 8B option uses one model with a toggle. If a model is missing, click “Check connection” to see what to download."
405,界面文案,直接替换,desktop/src/pet.gd:926,1,服务商,Provider
406,界面文案,直接替换,desktop/src/pet.gd:931,1,API 地址，例如 https://dashscope.aliyuncs.com/compatible-mode/v1,"API URL, e.g. https://dashscope.aliyuncs.com/compatible-mode/v1"
407,界面文案,直接替换,desktop/src/pet.gd:932,1,模型名称，例如 qwen-plus,"Model name, e.g. qwen-plus"
408,界面文案,直接替换,desktop/src/pet.gd:934,2,API 密钥，仅保存在本机 secrets.json,"API key, saved only in secrets.json on this Mac"
409,界面文案,直接替换,desktop/src/pet.gd:935,1,保存密钥,Save key
410,界面文案,直接替换,desktop/src/pet.gd:938,1,Claude 命令，默认 claude；请先登录,"Claude command, defaults to claude; sign in first"
411,界面文案,直接替换,desktop/src/pet.gd:939,1,模型（可留空）,Model (optional)
